Region,Country,Location,Course,i100,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,,,,,,,,,,,,,
Europe,France,Occitanie,Domaine Lavagnac,,2023,Nicklaus,New,Drought,,5/13/2023,43.4616146,3.3828538,https://fescue.github.io/Domaine-Lavagnac-Golf/,CwhqJXwy3iI,,,Irrigation,F3OccitanieLR/status/1656936038441566208,Water Restrictions,,,,,,domaine_lavagnac_official,Lavagnac,,,,,,,,
GB&I,Scotland,Dornoch,Coul Links,,2028,TBA,New,Council,,2023-04-30,57.9108954,-4.0052194,https://www.johnogroat-journal.co.uk/news/new-group-aims-to-revive-coul-links-golf-course-plan-225778,,,,,Communities4Co1/status/1353706043377913857,Communities4Coul,,,,,,,,,,,,,,,
N America,Canada,Noca Scotia,Mabou,,2027,TBA,New,Drawing boards ,,2023-04-30,46.0820418,-61.4527906,https://beyondthecontour.com/cabot-cape-breton-sets-sights-on-mabou-point/,,,,,capebretonpost/status/1649707114166898688,Provincial Parks Act,,,,,,,,,,,,,,,
N America,USA,Oregon,Pacific Gales,,2026,Haley Esler,New,Drawing boards ,,2023-04-27,45.17294,-122.540801,http://pacificgales.com/,,,,,pacificgales,Planning Board,,,,,,,,,,,,,,,
AU/NZ,Australia,NSW,Kameruka,,2027,Harley Kruse,Restore,Drawing boards ,Abandoned,2023-04-24,-36.716482,149.663632,https://kamerukagolf.com/,,kamerukagolf,,,,,,,,,,,,,,,,,,,
South Pacific,Australia,Queensland,Great Keppel Island,,2012,Norman,New,Never started,,2023-02-05,-23.1786851,150.7934934,https://fescue.github.io/Great-Keppel-Island/,,,,,,,,,,,,,,,,,,,,,
Africa,Tunisia,Tunis,Tunis Sport City,,2028,Harradine,New,Drawing boards ,9,2022-12-09,36.815445,9.886501,https://www.harradine-golf.com/z-tn-tunis.html,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,Paradise Isle,,2026,TBA,Renovate,Drawing boards ,,2022-11-30,26.552824,-82.089038,https://paradise-isle.com/,,,,,,,,,,,,,,,,,,,,,
N America,USA,Colorado,Brightwater,,2026,TBA,Renovate,Drawing boards ,,2022-11-15,39.5846727,-106.9512775,https://www.vaildaily.com/news/brightwater-may-emerge-from-bankruptcy/,g28pKHqX88o,,,2009,,,,,,,,,,,,,,,,,
N America,USA,California,Camarillo Hills,,2027,Damian Pascuzzo,Reduce,Drawing boards ,,2023-04-28,34.24532,-119.094974,https://www.sterlinghillsgolf.com/land-deal/,W-e7HbfsEBw,,12 Holes,Redevelopment,,,,,,,,,,,,,,,,, John Zaruka
